题名,楼主,时间,点击量,回复数,大五人格分类
一般情况下肺痛是不是就一定是肺炎？,X娃娃Lv 5,14:38:12,241,7, 尽责性
广州病毒是禽流感变种!!![已扎口],1,13:50:42,268,3, 神经质
广州不明病毒最新情况(转载)[已扎口],2,21:09:25,5360,12, 开放性
广州军区广州总院呼吸科主任黄文杰博士现场访谈（GZNET）(转载),3,23:41:36,5396,4, 开放性
非典型肺炎会出现什么样的症状,寂寞寒谷Lv 6,12:20:35,156,1, 开放性
"[寻医问药]听说广州那里发生了特大型的感冒,好像是肺炎还是鼠疫什么的,是吗?",泊心柳Lv 4,17:34:53,174,1, 开放性
以讹传讹猛于病毒 广东流行病谣言发展历程(转载),nghoLv 9,21:47:05,363,7, 开放性
邢老谈非典型肺炎！（没有中西医争论了吧？）,蓝色海之南Lv 6,15:42:30,840,26, 开放性
广州副市长陈传誉：非典型肺炎未完全遏制(转载),正音Lv 4,11:35:12,134,0, 尽责性
广州的肺炎病例还有增加，政府宣传不可信！！,蜀山之神Lv 4,14:35:22,784,25, 神经质
"“达菲”涉嫌造谣牟利 广东省公安厅已布置调查(转载)
",古墓厉影Lv 0,13:43:41,625,45, 尽责性
有开药店的朋友吗？？？？？？？？？,深圳红小兵Lv 7,18:58:11,118,1, 外向性
大家看看什么是“非典型性肺炎“,小陈飞一把菜刀Lv 8,13:33:51,423,7, 开放性
非典型肺炎个案仍在迅增(转载),开心布丁Lv 6,11:58:20,550,15, 开放性
"太可怕了，香港多名医护人员感染非典型性肺炎
",ballerinaLv 1,18:40:48,1894,22, 神经质
非典型肺炎是怎样的症状？,彩笺Lv 11,13:08:52,173,2, 开放性
"[公告]关于非典型肺炎,请勿转载非官方信息",robin1123Lv 13,14:56:29,203,0, 尽责性
"肺部求诊
",死而有憾Lv 7,9:44:47,122,4, 尽责性
"关于肺炎的香港与台湾消息（不违规，请勿删除）(转载)
",zhang3Lv 6,21:57:25,704,1, 开放性
"[寻医问药]惨！这下可能挂了……
",gzsumsLv 8,23:48:01,370,32, 神经质
"中央空调系统是否会导致非典肺（SARS)迅速蔓延
",ckaokaoLv 3,1:18:13,148,1, 开放性
北京也又不典型肺炎了？！,kong7Lv 4,0:05:16,201,3, 开放性
"我鼻塞,喉咙难受,会是非典型肺炎嘛?
",魑魅魍魉2号Lv 15,10:22:18,216,1, 神经质
"注意：这可不是什么肺炎！
",stoneboyLv 6,21:22:57,318,5, 开放性
请问那个肺炎有什么症状如何预防？,翾翾Lv 5,10:48:21,495,10, 开放性
求助！！非典型性肺炎该怎样治疗？,随风花落Lv 1,16:19:22,859,31, 开放性
"[寻医问药]同学给我的，据说是协和医院内部预防非典型肺炎的方子，有劳高手帮忙看一下
",杨疯Lv 4,9:13:24,712,21, 开放性
肺炎会有什么症状呀？,夏紫菱Lv 6,20:33:14,229,3, 开放性
"在KTV唱卡拉OK，如何预防非典型性肺炎？
",海王银得菲Lv 1,7:53:36,354,4, 开放性
"吓死了，以为得了非典型肺炎
",飞鸟渡Lv 9,21:05:32,270,1, 神经质
求教：非典型肺炎的症状和潜伏期？急，急，急！！！,chaseliLv 9,17:00:39,239,1, 神经质
奇方治非典(转载),静静地听Lv 3,12:23:38,256,11, 开放性
"好消息：香港SARS新发病例数显著下降
",stoneboyLv 6,18:48:50,347,9, 尽责性
"科学地预防非典型肺炎(转载)
",effeLv 4,20:50:10,439,4, 开放性
得了非典型性肺炎可是完全治愈吗？,52003Lv 9,15:55:42,501,10, 开放性
"一个预防非典型肺炎的配方，请懂行的医生看一下。
",只是看客Lv 6,19:41:43,435,8, 开放性
"非典型肺炎可怕？
",冤家路窄Lv 4,11:33:19,267,5, 神经质
[寻医问药]非典型肺炎预防药方(转载),毒药Lv 7,20:11:50,141,0, 开放性
"至少传染你---非典带菌者决心书
",南柯一梦Lv 4,18:29:09,139,0, 神经质
"预防非典型肺炎,这种药有用吗?",非典型灌灌Lv 7,10:11:59,353,9, 开放性
"我咳血了,是非典吗????????????",我只为你乖Lv 4,22:56:20,528,16, 神经质
非典型肺炎是美国发动的生物战,亲切Lv 5,14:22:25,2270,8, 不适用
"非典型！
",快乐的小妖Lv 4,20:12:46,118,1, 不适用
在游泳池内怎样预防非典型肺炎,柳伊Lv 3,10:55:38,171,4, 开放性
滥戴口罩对身体有副作用 专家介绍说：只有在特定情况下才需戴口罩,棒棒糖-甜的Lv 4,9:53:21,455,3, 开放性
是否非典型？请各位帮忙！,云中飞叶Lv 3,17:00:47,326,9, 神经质
非典型肺炎到底是什么鬼东西？！,虎门硝烟Lv 6,22:29:03,361,6, 开放性
"也担心……
",我换马甲了Lv 3,14:47:07,81,5, 神经质
zt正确认识非典型肺炎(!)(转载),古墓厉影Lv 0,20:21:40,570,11, 开放性
"[寻医问药]我有没有得非典？
",深白色贞子5Lv 7,12:30:50,232,8, 神经质
非典潜伏期(转载),黄雨果Lv 4,17:44:31,475,8, 开放性
"[休闲天地]不管怎样，我们还是保持谨慎但平和的心态
",上岸的鱼Lv 5,10:32:46,129,2, 尽责性
"关于非典（上）(转载)
",泡泡小鱼Lv 3,16:09:04,236,3, 开放性
"非典症状
",暗投Lv 5,23:37:09,181,4, 开放性
非典时期的辞职过程~~~~~,狼子野心Lv 2,21:20:34,220,1, 神经质
"世卫总干事公开批评中国(转载)
",罗罗Lv 5,16:17:21,795,21, 开放性
"在线求助：在广州非典嫌疑去医院看病的都要强制隔离么？
",没有脚踏车的鱼Lv 4,20:37:33,319,8, 神经质
（求助）这是非典吗,火橄榄1Lv 5,14:34:17,230,3, 神经质
关于SARS:三○二医院内部印的东东(重贴)(贴图),marco_dragonLv 6,13:46:12,892,19, 开放性
"确保自己活到SARS疫苗成功研制出来(转载)
",北海舟Lv 7,12:37:20,573,0, 开放性
我头晕，不是非碘吧。,清江引Lv 6,16:24:22,103,0, 神经质
"关于非典（中）(转载)
",泡泡小鱼Lv 3,16:13:37,356,9, 开放性
"五一我能否去旅游?
",西贝石头Lv 4,8:23:22,99,2, 开放性
及时更新， 非典肺炎， 人命关天！！！,湖心岛Lv 3,9:21:53,310,5, 尽责性
"[寻医问药]用什么药可以预防非典型肺炎？
",西贝石头Lv 4,20:24:16,244,11, 开放性
"一个非典转贴，请医生朋友看看是否有道理(转载)
",行于斯Lv 1,20:41:09,299,4, 开放性
"关于非典（下）(转载)
",泡泡小鱼Lv 3,16:18:52,723,5, 开放性
"世界卫生组织正式确认“非典”病原体
",robin1123Lv 13,10:10:35,354,5, 开放性
ROBIN和深圳的网友请进,猪钱钱Lv 4,8:38:13,565,27, 不适用
"关于sars,到底那个说法对啊？",且行且灌Lv 1,19:04:06,176,3, 开放性
非典怎么预防,户枢流水Lv 4,16:55:24,128,2, 开放性
世界卫生组织以猴子作试验，证实非典肺炎由人以外的变异冠状病毒引起(转载),黄雨果Lv 4,18:02:24,305,6, 开放性
本人春节前购入板蓝根2000包，,深圳红小兵Lv 7,12:16:54,346,20, 开放性
[寻医问药]安徽老教授无偿公开治疗非典型肺炎的千年秘方(转载)[已扎口],fatsun1860Lv 5,22:18:25,723,6, 开放性
[休闲天地]我是一粒非典的病毒,球不是这样踢的Lv 3,14:11:26,383,15, 不适用
绝非玩笑，版主务删。吸烟能否对治“非典”？,也能冷暖自知Lv 4,8:23:16,882,33, 不适用
"[寻医问药]北京中医药大学教授提供的防“非典”中药药方，如何阿？
",sahaLv 3,17:01:46,1604,3, 开放性
新马泰旅游叫停 旅行社全额退费 “非典”冲击“五一”出境游,robin1123Lv 13,10:02:39,97,0, 开放性
"[寻医问药]体温多少算正常？
",红袄袖Lv 2,21:34:53,176,5, 开放性
广东中小学将实行晨检制度 高校要每日报告疫情,robin1123Lv 13,10:17:29,384,3, 尽责性
星期日要到广州考英语过级，去不去？,yaoyaorLv 5,18:05:17,191,11, 神经质
[聊天记录]中医与非典,farrellLv 6,11:22:41,218,4, 开放性
在人类与SARS病毒的搏斗中，让我们向他们致敬！,stoneboyLv 6,19:33:44,625,16, 尽责性
[寻医问药]板蓝根不可随便服用(转载),happycslLv 4,8:56:37,191,2, 开放性
"国家中医药管理局颁布非典型肺炎预防方案[已扎口]
",jjjjjjj2Lv 6,1:14:28,464,7, 开放性
板蓝根也会中毒不宜长期大剂量服用(转载),robin1123Lv 13,19:06:14,265,10, 开放性
[寻医问药]非典的药方(请帮看看）,烤焦面包Lv 4,21:16:36,680,31, 开放性
"关于非典，说两句！
",少来这套Lv 5,17:05:00,379,9, 开放性
请教，有关非典,闪灵Lv 7,17:19:07,242,4, 开放性
关于非典复发病例，请大家谈谈看法,呼啸而过的子弹Lv 10,22:48:16,465,14, 开放性
"“非典”时刻的临床大夫(转载)
",robin1123Lv 13,16:44:08,590,10, 开放性
"防治“非典“中医方药[已扎口]
",非非想Lv 3,20:08:50,244,10, 开放性
非典型肺炎(淘大花园的个案)(转载),系着太阳的云彩Lv 5,8:27:51,535,5, 开放性
问：关于防非典中药,田小天Lv 4,8:37:54,195,4, 开放性
"电子显微镜下的非碘病毒图片(贴图)(SARS病毒/电镜)
",marco_dragonLv 6,13:16:54,795,10, 开放性
"向医护工作者致以最深切的敬意和祝福！(转载)
",mulberryLv 3,23:25:23,247,10, 尽责性
"伟大的白衣天使
",松雪道人Lv 6,8:23:40,188,10, 尽责性
[寻医问药]非典型有什么特征吗？？瑞士有了吗？,波波猫Lv 8,4:00:56,214,8, 开放性
请问（非典）干咳是指什么样的咳嗽,暗投Lv 5,0:24:34,1153,14, 开放性
问一下非典的传播界限与中招现象,鹏飞6Lv 16,23:54:47,260,3, 开放性
转<关于非典的防治的一点建议>(转载),老军医ALv 4,8:52:46,151,1, 开放性
"[公告]关于非典型肺炎,请勿转载非官方信息",robin1123Lv 13,14:56:10,1350,35, 尽责性
"“非典”病区护士长日记(转载)
",广州凉茶Lv 7,11:16:40,559,14, 尽责性
国家中医药管理局公布中医防治“非典“方案(转载),小弋Lv 4,18:24:41,369,6, 尽责性
[休闲天地]中共中央对卫生部、北京市、海南省主要负责人职务作出调整(转载),中医之魂Lv 4,11:10:34,222,2, 不适用
紧急求助！！！！！！！！！1,胡狗蛋儿Lv 15,12:38:54,695,2, 神经质
"预防非典高招
",海淀农民Lv 14,14:43:49,192,0, 开放性
[寻医问药]关于非典的治疗问题，请医生朋友说说,一起去看海Lv 6,15:14:52,290,6, 尽责性
请问海南现在有非典病例吗？,你老婆的哥Lv 3,16:28:52,95,0, 尽责性
[寻医问药]政府应该控制一下药价了!!,比目鱼NLv 10,14:16:42,160,1, 尽责性
"旱獭，非典型肺炎的罪魁祸首？(转自新闻众评)(转载)
",吴明氏Lv 2,0:47:21,374,5, 开放性
"5。1出玩与非典关系
",流年2003Lv 5,16:59:33,922,36, 开放性
卫生部办公厅关于临床医师在接诊疑似传染性非典型肺炎患者时应询问流行病学史的通知(转载),呼啸而过的子弹Lv 10,0:49:13,337,6, 尽责性
我想我们该为同行呼喊！请大家支持我。,呼啸而过的子弹Lv 10,12:04:22,532,45, 外向性
今日非典(贴图),僵尸七号Lv 10,10:23:09,533,3, 不适用
"吸烟与非典的相关性
",行于斯Lv 1,18:09:05,351,2, 开放性
非典活性碳口罩有用吗？,指甲Lv 6,17:22:07,352,3, 开放性
"国务院决定今年暂不实行“五一”放长假制度(转载)
",呼啸而过的子弹Lv 10,17:18:08,365,12, 不适用
"发现非典起源
",海淀农民Lv 14,14:24:59,563,3, 开放性
"建议把重型急性呼吸综合征命名为Urbani病（Urbani’s disease）
",stoneboyLv 6,18:36:33,330,13, 开放性
"医生帮忙看看：(转载)
",吴明氏Lv 2,22:41:36,68,2, 尽责性
摘抄至广东省委发出的致全省战斗在防治非典第一线的广大医护工作者公开信:(转载),骑马仗剑走天涯Lv 7,20:46:42,160,2, 尽责性
非典到底什么时侯才能结束呀？？？,寒门秀才Lv 5,20:17:18,1471,30, 神经质
非典,雨莫春秋涵自来Lv 5,1:31:11,118,2, 不适用
预言非典的口罩选择,la_merLv 2,6:15:06,339,1, 开放性
“防典”讲座下载！（为了你我健康，请版主保留）,红卫兵小将Lv 5,20:32:59,336,4, 尽责性
"海南有没有非典
",ashura33Lv 6,9:31:20,91,0, 尽责性
[眼耳鼻喉科]关于口罩的消毒,猫科动物Lv 6,9:30:54,202,1, 尽责性
辽宁现在有没有SARS？？,悦心Lv 3,19:02:43,195,5, 尽责性
"妈妈给我的预防药 是不是都能吃？
",街角的银杏叶Lv 4,23:47:45,78,4, 尽责性
[寻医问药]请问：预防“非典”撒什么消毒水,wendylw7Lv 4,20:53:32,331,9, 尽责性
"非典,非典,还是非典",久病成医Lv 4,11:02:12,312,3, 不适用
"请教怎么样预防“非典”？
",小柯南Lv 6,10:15:03,224,7, 开放性
"非典型肺炎防治手册（1）！不知有人贴过没有？(转载)
",三羊开泰Lv 3,15:27:31,239,0, 尽责性
[眼耳鼻喉科]得了非典，怎么办？？,惊魂Lv 2,11:26:43,306,7, 神经质
"慎服所谓“预防非典药物”(转载)
",即Lv 3,21:00:35,106,2, 尽责性
"有上海的医生行行好，告诉大家哪儿不要去啊？
",zhh_jianLv 3,20:07:12,124,1, 外向性
"SARS/免疫力
",thc6016Lv 3,19:32:08,129,2, 开放性
请教,scq64Lv 3,21:10:11,64,3, 开放性
"这是真的吗？请教robin1123(转载)
",DD大哥Lv 4,21:40:30,199,8, 开放性
"[寻医问药]吸烟是不是有利于防“非典”？
",水做的哈哈Lv 4,13:16:41,448,18, 开放性
"在线等答关于！非典！
",醉剑Lv 6,18:09:13,189,1, 神经质
"FD时期，普通人写给普通人的建议
",独立猫格Lv 13,0:24:57,304,14, 尽责性
"有没有在上海的医生工作的医生？
",灵光闪现Lv 16,11:21:22,438,23, 外向性
非 典 型 肺 炎 防 治 手 册 ·（为了自己，看一下吧）(贴图),随手香Lv 11,20:18:57,386,13, 尽责性
关于规范非典型肺炎药物预防的建议,流沙861Lv 4,19:27:54,250,9, 尽责性
"非典有什么特征啊？
",丑也有自尊Lv 4,2:35:41,90,3, 开放性
"[寻医问药]火车飞机谁更容易染上非典？
",蜀妹Lv 8,1:16:59,619,7, 开放性
"院长在家吗？
",黄村长Lv 3,10:54:47,123,1, 外向性
[寻医问药]请问：肺部隐约作痛，是不是SARS？急！！！！！！,乜Lv 5,17:34:16,296,6, 神经质
"“非典”在那里检查？？？
",雪鸦Lv 6,7:38:18,139,4, 尽责性
[寻医问药]非典型肺炎有哪些症状？,诗与Lv 7,0:20:21,348,11, 开放性
"天涯医院的大夫们，你们不觉的你们很失职吗？
",制作师Lv 6,18:31:06,1054,121, 神经质
"非典型肺炎常见问题解答(转载)
",忧郁的炽天使Lv 3,15:31:17,128,0, 尽责性
"robin1123,非常时期，请不要笑我：）
",do-re-miLv 2,11:25:48,262,3, 外向性
[休闲天地]sars特效药：真的假的？请问各位大夫(转载),大国小民Lv 15,11:34:00,1161,17, 开放性
"非典病毒附着在物品上会传染吗?
",fxfejjLv 6,11:34:35,1039,4, 开放性
"非典时期,非典担心,偶的工作在医院的亲人们
",久病成医Lv 4,10:03:04,241,8, 神经质
"能治非典吗——清热解毒口服液！！！！！！！！
",lijian8413Lv 4,14:29:21,195,4, 开放性
[休闲天地]中共中央决定：免去张文康卫生部党组书记职务(转载),中医之魂Lv 4,11:02:19,1055,35, 不适用
预防“非典”参考中药处方(转载),benboyeLv 6,13:42:33,158,1, 尽责性
"双氧水消毒的问题
",水弦Lv 5,16:29:31,127,1, 尽责性
"询非典
",黄叶飘零Lv 4,13:56:11,127,3, 开放性
SARS是台湾和美国合谋的生化袭击(转载),海淀农民Lv 14,11:50:12,535,13, 神经质
非典治愈者是怎么治好的呢？,fxfejjLv 6,13:49:23,5626,14, 开放性
"卫生部新闻办公室今天下午通报全国内地非典型肺炎疫情(转载)
",黄雨果Lv 4,17:25:36,645,7, 尽责性
请问N95的口罩一般在哪里有卖啊？,拙哥Lv 6,18:46:39,494,8, 尽责性
"非典时代的生活
",如此多情Lv 6,21:12:29,120,0, 开放性
"祝福工作在最危险的一线的同仁们好运,祝福我们的国家好运
",比目鱼NLv 10,21:42:55,67,0, 外向性
十六层口罩一次性的吗？？,金牌小密探Lv 8,13:56:26,348,18, 尽责性
"美国疾病控制中心（CDC）预防萨斯病建议(转载)
",lzfwLv 4,0:58:33,158,0, 尽责性
"这是急性气管炎，还是。。。
",暗投Lv 5,0:28:27,138,5, 开放性
"[寻医问药]我虽然只是喉咙痛，不过还是很怕，请医生指教
",一起去看海Lv 6,0:59:25,162,2, 神经质
"各位作为医生，请谈谈“沙斯是国外的生化武器故意偷毒”一说是否可能成立？
",黎宏Lv 6,23:49:43,161,1, 神经质
"302医院专家不幸染病 注射非典血清出现奇迹(转载)
",曾庶民Lv 5,15:41:51,1101,24, 开放性
[寻医问药]非典一定是被传染才得的吗？,一起去看海Lv 6,1:14:23,94,1, 开放性
ZT： 关于非典死亡率的计算方法(转载),不锈晓钢Lv 6,19:29:47,734,7, 开放性
"从江苏到河南,坐火车，怎么预防非典?",bimbaLv 5,12:11:07,297,7, 尽责性
非典在潜伏期内有什么具体症状么？,老巍Lv 8,19:05:56,480,9, 开放性
SARS能不能自愈？有没有人不采取任何措施而能避免传染？,思哲Lv 0,19:54:54,348,5, 开放性
有医生在吗？问个呼吸不顺畅的问题（在线等）,吱咕Lv 3,17:21:10,170,3, 神经质
"非典会不会通过血液传播？
",西皮皮7Lv 9,20:33:59,281,2, 开放性
非典型肺炎在潜伏期的症状？（再线等）,鲜胡萝卜Lv 6,7:28:20,277,1, 开放性
解读“非典型肺炎“,非非想Lv 3,20:37:10,320,6, 尽责性
非典个人预防措施(转载),爱把冰山隔Lv 3,10:58:10,154,0, 尽责性
"什么样的消毒液有用？
",蓝顿Lv 3,16:23:13,227,3, 尽责性
"[通知]关于本区域禁止发布未经证实的消息的通知
",robin1123Lv 13,15:19:08,561,8, 不适用
关于SARS的治疗请教病理学方面的专家(转载),老鼠也移民Lv 3,21:36:09,278,14, 开放性
』〔喜讯〕防治非典的书籍出版了，大家去买！,木叶萧萧子Lv 7,10:26:48,160,1, 外向性
"求助！！关于肺癌，希望给我一点帮助，先多谢。
",明天又天涯Lv 4,23:35:56,368,6, 神经质
"月经不正常是否和喝预防非典中药有关！！
",钱皮Lv 2,13:10:55,161,4, 开放性
"[休闲天地]非碘
",老爬虫Lv 8,15:07:03,34,0, 不适用
"关于臭氧机！
",失而复得Lv 4,14:58:11,183,3, 开放性
"[寻医问药]有没有可能一个人带菌， 自己没有症状，但是会传染给别人
",十五加一Lv 4,16:34:22,146,4, 开放性
"图·非典防治手册（内部资料）
",黯Lv 7,10:43:19,318,3, 尽责性
蚊蝇、钞票、飞絮等途径是否可能传播非典？(转载)(转载),robin1123Lv 13,17:51:09,182,1, 开放性
"学习非典(转载)
",春之雨Lv 5,20:17:06,113,1, 尽责性
"仅作搞笑，切记不能当真阿，呵呵(转载)
",金牌小密探Lv 8,10:59:35,156,1, 外向性
[诗歌休闲]沁 园 春． 萨 斯(转载),纳兰的剑Lv 6,11:41:42,213,10, 开放性
"胸口有点闷
",暗投Lv 5,22:36:30,65,2, 神经质
喝消毒水可不可发治愈非典呢？本人的遐想？哈,鲜胡萝卜Lv 6,7:49:06,272,10, 神经质
"关于SARS的三篇常识性资料(转载)[已扎口]
",乐韵悠扬Lv 3,18:02:08,445,13, 尽责性
急！！！体温3天都是37度3是不是正常啊？,hastinLv 6,9:40:06,262,3, 神经质
"服用增强抵抗力的药物（胸腺肽）预防非典可行吗？应该服用多大剂量？
",原月弯刀Lv 4,18:51:34,455,4, 尽责性
"我这是喝中药过敏吗？
",碎了的师兄Lv 8,16:28:33,241,8, 开放性
"沁园春 关天看非典相关贴有感
",我是和尚我怕谁Lv 8,23:31:25,162,4, 开放性
"关于沸点的个人建议
",owenkaoLv 1,9:52:01,70,1, 开放性
"[休闲天地]郁闷中， 出游被取消了
",紫书Lv 9,12:52:26,157,17, 神经质
低烧,yaonmLv 4,13:45:01,113,2, 神经质
"[寻医问药]非典型肺炎是怎样的症状？
",雪鸦Lv 6,0:41:08,440,6, 开放性
中国疾病预防控制中心非典防治电子书(转载),florieLv 4,14:29:53,100,0, 尽责性
"请问，防“非典”打“干抗素”好吗？用什么药预防比较好呢？？
",pix001Lv 4,13:42:59,113,4, 尽责性
"[纯粹灌水]奇迹是什么东东？
",纳兰的剑Lv 6,16:12:23,371,49, 不适用
[休闲天地]抗非典，准备打持久战！！！！！！！！！！！,海角石3Lv 12,19:00:29,98,0, 外向性
"帮忙看看我是不是得了非典
",多喝水多喝水Lv 4,13:43:28,381,13, 神经质
现在出差的话，应该怎么办啊。坐火车还是汽车，,拙哥Lv 6,17:16:36,246,11, 尽责性
"急问：潜伏期是不是什么症状都没有？
",cyberioLv 4,20:19:13,164,2, 开放性
"不吃药也能防“非典”——煲汤喝(转载)
",爱把冰山隔Lv 3,20:41:04,199,0, 开放性
"你知识这是什么？
",roriLv 4,20:53:14,56,0, 不适用
"真心求教
",岭上白云Lv 3,19:58:26,84,3, 神经质
"[寻医问药]想问一下非典从中招到完全治愈大概费用是多少?
",大尾巴猫Lv 6,22:35:26,72,0, 尽责性
非典痊愈后的病人可以吃这个,ckaokaoLv 3,21:35:14,150,2, 尽责性
"谁在第一线？
",矮胖子Lv 9,10:13:30,177,9, 外向性
关于板蓝根,一丝淡淡Lv 13,20:00:24,192,5, 开放性
转两个帖子，向工作在抗SARS一线的医务人员致敬！(转载),韦大宝Lv 4,7:09:48,498,23, 外向性
美国红十字会辟谣：“非典”不是美国生物武器(转载),海淀农民Lv 14,22:48:43,373,1, 不适用
"怕怕！
",iverchiLv 15,21:29:07,262,1, 神经质
"抗非典，准备打持久战——萨斯病毒变异快生产疫苗难
",海角石3Lv 12,18:56:22,453,2, 开放性
"救命啊
",1小蚂蚁1Lv 7,10:38:46,101,2, 神经质
北京市面臨第二波大爆發嚴峻考驗(转载),酸臭老鱼Lv 1,12:10:01,308,4, 尽责性
家有不到两岁的宝宝，如何为她防非典？,竹壳茶Lv 5,20:59:31,164,4, 尽责性
"歪打正着`也许可以试试这样治“非典”。
",矮胖子Lv 9,20:07:05,267,5, 开放性
"非典可以预防吗?
",夜孤虫Lv 5,18:37:27,62,1, 开放性
哪里有隔离服出售！！！！！,大刀王老五Lv 5,21:26:38,98,0, 尽责性
"中华人民共和国传染病防治法(节选)(转载)
",赖赖毛Lv 6,18:32:50,141,5, 不适用
[休闲天地]吸烟与非典——不知是不是真的。^_^(转载),yidaoLv 9,22:55:09,1584,34, 开放性
"[休闲天地]关于非点的十种死法(转载)
",纳兰的剑Lv 6,11:37:07,561,16, 神经质
"政府应该怎样处理SARS问题
",相逢相知Lv 3,23:01:34,161,7, 开放性
"北京一宠物狗突然死亡 专家疑其染上“非典”
",d4Lv 6,15:50:57,201,2, 神经质
"恐慌中……
",赤脚大闲人Lv 5,20:10:31,298,16, 神经质
"[口腔科]证实：湖南常德澧县短途车站发现一非典患者死亡
",harmyLv 2,21:44:03,324,5, 尽责性
"！！！！我得了非典吗？
",-柳如烟-Lv 4,23:22:54,503,17, 神经质
"请懂医的朋友帮忙看看，急急急！！！！·
",sea_1122Lv 4,15:24:50,210,10, 神经质
"我问个愚蠢问题，非典的预防不能打预防针吗
",水朵朵Lv 10,11:46:08,147,3, 开放性
"看看我的防非典措施。
",小蓝裙子Lv 4,16:23:19,297,8, 尽责性
参考：非典的最新预防方法,突然飞了Lv 3,15:22:16,340,1, 开放性
"谁能告诉我一下非典潜伏期的情况？
",我是一尾鱼Lv 3,17:48:17,134,2, 开放性
"中医药预防“非典”的基本原则(转载)
",懒猫猫喵喵Lv 3,18:47:57,52,0, 尽责性
"戴哪种口罩预防非典效果好？(转载)
",懒猫猫喵喵Lv 3,18:53:26,114,0, 尽责性
"[叹息灌水]生死有命，富贵在天
",纳兰的剑Lv 6,15:33:40,227,6, 神经质
"有吃了中药反而觉得胸口闷的吗
",暗投Lv 5,15:46:42,76,1, 开放性
"紧急求助：非典时期的怀孕问题
",毛月亮Lv 4,11:21:08,232,5, 神经质
