题名,楼主,时间,点击量,回复数,大五人格分类
[眼耳鼻喉科]为什么觉得胸闷、气喘？,赢芬Lv 3,11:43:38,231,5, 开放性
"头常常不舒服是因为什么？
",风成西林Lv 7,17:02:26,102,3, 开放性
"[寻医问药]再问一个
",一起去看海Lv 6,20:34:30,26,1, 开放性
"总理这样做危险大吗？很为他担心(转载)
",认真的游戏者Lv 4,18:28:34,256,2, 外向性
"我需要去检查吗？（非典）
",行_走_Lv 4,12:54:02,130,5, 神经质
"我的体温是否属正常？
",千与千寻兮Lv 4,22:17:03,92,2, 开放性
"听说非典的发热没办法降下来的，是这样子吗？
",amorisLv 5,13:14:08,215,7, 开放性
"潜伏期也能传染？就是说没发烧咳嗽的也可能把你传染？
",steevenLv 8,17:27:11,369,4, 开放性
"有点咳，但没有发烧，没关糸吧？在线等
",忽然花开Lv 3,18:34:13,412,13, 神经质
我每天定时发烧 是非碘吗,爱把冰山隔Lv 3,15:11:22,276,8, 开放性
请问体温37.3度，头有点疼，有感冒症状,hastinLv 6,21:53:21,696,7, 神经质
[寻医问药]求助！！朋友从广州回来，可以见面吗？？急！！在线等待。,一起去看海Lv 6,20:19:59,145,6, 神经质
"专家透露“非典”有效疫苗最快要等三五年
",懒猫猫喵喵Lv 3,19:02:55,105,3, 开放性
"请问，要是收到广州来的邮件，应该怎么预防非典？
",我比烟花Lv 4,18:27:53,360,15, 尽责性
"注射球形蛋白有用吗？
",云情雨意Lv 4,23:40:53,166,1, 开放性
"好多人都在打防非典针 管用吗？
",翩然落梅2Lv 11,13:23:18,514,14, 开放性
"男朋友刚从洛阳坐火车到西安，他体温37。1度，头晕晕的，咋办？急！
",eileencatLv 7,22:59:54,1483,19, 神经质
"体温过低算什么“典”？
",依然猪脑壳Lv 1,0:50:25,198,7, 开放性
"关于海南SARS的报告
",小陈飞一把菜刀Lv 8,22:13:28,467,9, 尽责性
"非点进入夏天时能不能自动消灭
",英语同学2Lv 4,21:05:04,348,5, 开放性
"是非典医院还是集中营？
",曾经疯狂2Lv 12,22:30:15,651,35, 神经质
"[寻医问药]口罩改如何戴　　　俺不会：（(贴图)
",tomatowakinLv 4,13:36:57,529,19, 尽责性
"请问，喉咙痛有没有问题啊？
",艾可echoLv 4,9:30:01,152,3, 开放性
"治一个非典到底要花多少钱
",多喝水多喝水Lv 4,21:47:18,1477,34, 尽责性
"这样的症状会不会是非典？
",amorisLv 5,17:49:01,162,5, 神经质
"五一我到底能不能回家？？（关于非典）
",三三坨Lv 5,11:33:06,383,13, 尽责性
"口罩歌
",bucuanLv 9,13:43:51,262,1, 不适用
"[休闲天地]你这个变态的变态的（三）(转载)
",快乐兔子Lv 4,23:31:32,263,10, 不适用
"[一本正经]SARS给我们带来的好处(转载)
",纳兰的剑Lv 6,14:53:46,528,25, 开放性
"哪位疫区的朋友能告诉我口罩现在多少钱一个？
",陌生人12Lv 6,16:15:59,264,14, 尽责性
"发烧，喉咙疼，是SARS吗？
",bluewayLv 6,15:03:03,250,3, 神经质
"天津哪可以买到好点的口罩？
",TZY123Lv 4,17:39:39,112,0, 尽责性
"现在中央一台正在放采访钟南山的节目，值得一看
",yidaoLv 9,21:49:32,596,28, 外向性
提个问题:糖尿病患者\高血压患者怎样预防非典型肺炎?,黄金小子Lv 5,16:46:33,107,4, 尽责性
突然严重感冒流鼻涕中，和非点没关系把？,hastinLv 6,21:42:17,94,0, 开放性
"非典（SARS）影像学表现
",-蓝海-Lv 6,21:05:32,147,5, 开放性
"[休闲天地]SARS的胸闷是怎么样个闷法？
",hastinLv 6,22:05:22,104,0, 开放性
"防止非碘的小办法(转载)
",三剑客之剑豪Lv 1,22:43:07,80,0, 不适用
"请教大家个问题:关于非典的早期的诊断?
",骑马仗剑走天涯Lv 7,13:13:40,419,28, 开放性
"[寻医问药]非典了，闲起来了
",多能镜片Lv 5,17:28:26,154,2, 不适用
"[寻医问药]有糖尿病的医生到香港支援sars，要注意什么
",开心布丁Lv 6,16:04:27,183,10, 尽责性
"“非典”是 恐怖袭击？？(转载)
",生物段昌Lv 1,23:11:35,143,2, 神经质
非典型肺炎的症状(转载),2238Lv 2,16:04:23,234,6, 开放性
"请在北京的进来，谢谢
",悬浮微粒Lv 0,19:55:11,214,5, 外向性
[求教]抽烟真的可以防非典吗.......,蛊惑人心Lv 3,12:21:13,2112,16, 开放性
"我很担心自己的状况，紧急求援！！(转载)
",realifeLv 4,22:33:08,203,2, 神经质
[休闲天地]上海科学家与非典比拼速度 疫苗有望几月内问世(转载),bwm28Lv 6,0:04:17,711,8, 开放性
"[寻医问药]请各位看看这是不是真的？(转载)
",tigereyeLv 7,23:03:11,394,31, 开放性
"[寻医问药]层层把关防非典——来自一线的报道
",黄金小子Lv 5,13:50:12,160,0, 尽责性
象我这样的容易得SARS吗？,mariiicnLv 5,14:27:06,383,8, 开放性
"请问这样可以预防非点吗？
",sniper_Lv 4,11:34:49,166,2, 尽责性
广东中山三院主任医师邓练贤殉职非典前线(转载),韦郎来也Lv 7,20:18:10,869,31, 外向性
美国的非典统计报告是一个谜(转载),海农民Lv 14,20:40:29,434,2, 开放性
"我这几天一直喉咙痛，是不是得SARS了？救命啊
",湘竹涟漪Lv 4,8:54:52,219,3, 神经质
"面对非典，医护人员拿什么保护自己?（转）(转载)
",qhpphicuLv 4,1:20:38,153,3, 尽责性
"增强你的免疫力对抗非典！！(转载)
",dou_lxyLv 2,23:17:44,142,0, 尽责性
"请问北京寄来的邮件包裹会不会有病毒阿,该怎么处理?
",赛羊300ALv 4,18:04:06,3643,5, 尽责性
"请教各位有经验的人士
",酒肉兔子Lv 10,0:08:45,101,1, 开放性
江泽民批准 解放军急调千名医务人员进京抗非(转载),懒猫猫喵喵Lv 3,18:40:39,1003,35, 不适用
"防非典中药应该怎样喝？
",罗罗嗦嗦Lv 2,9:44:28,205,2, 开放性
我会不会得非典？,蒙古人Lv 2,8:30:28,123,3, 神经质
"同胞有难，匹夫有责
",ywforeverLv 3,13:06:25,46,2, 亲和性
请问，在治疗SARS时，有医生试用过 三氮核苷唑 没有？,自由飞翔007Lv 7,1:51:38,501,19, 开放性
现在SARS的出院标准是什么呢？,赖赖毛Lv 6,12:43:15,211,8, 开放性
防非典，通风比消毒还有用(转载),xiaowupoLv 5,16:42:37,162,6, 开放性
"[寻医问药]从疫区邮购东西以及收信会不会有危险？
",浅色甜橙Lv 1,8:54:54,95,3, 开放性
紧急求助！！！（非典时期不敢去医院）,革命就是请客吃饭Lv 6,1:34:38,277,8, 神经质
"关于胸腺肽
",kiiLv 4,23:31:24,6883,6, 开放性
"肉饼集深圳的医生请进
",疯子谷Lv 3,10:58:42,87,3, 不适用
"[休闲天地]风轻浪平疫区行-----出差小记(转载)
",纳兰的剑Lv 6,10:06:46,193,0, 开放性
SARS带来的好处！,可爱的笨猪Lv 3,13:30:24,42,0, 外向性
"腿痛/求助
",thc6016Lv 3,15:54:29,116,2, 神经质
"[寻医问药]我想知道如果得非典以后的一些问题？？
",梦幻轩主Lv 5,19:50:25,91,0, 开放性
[休闲天地]SARS带来的好处！,可爱的笨猪Lv 3,13:40:50,106,4, 外向性
"张文康被炒了尤鱼！
",古墓厉影Lv 0,20:05:34,8514,34, 不适用
"因为非典，医院五一取消放假吗？
",无名将Lv 14,14:00:13,454,17, 开放性
"降低SARs病死率的关键是中西医结合治疗
",松雪道人Lv 6,9:03:12,148,6, 开放性
美研制出非典特效药 据称能有效杀死冠状病毒（自SINA）,冬天里的遐想Lv 7,22:03:38,705,16, 开放性
"美国10年前曾有2万人死于“萨氏病毒”？(转载)
",玄隐子Lv 2,16:02:53,1560,120, 开放性
"救命了！！
",落夜空空Lv 5,20:25:24,81,1, 神经质
"SARS病人与疑似病人能在一起隔离吗？
",浮生如此Lv 6,1:19:19,142,3, 开放性
"两个我一直都很好奇的医学问题
",允浩Lv 8,21:44:27,366,5, 开放性
"求助！
",小柯南Lv 6,11:29:07,198,7, 神经质
想知道大陆的医生是用什么药物治疗SARS的,ballerinaLv 1,1:13:32,74,0, 开放性
各位看官请进：SARS防治四大关键词！,冬天里的遐想Lv 7,21:55:39,4912,35, 开放性
"天气热了，蚊子会传染SARS吗？
",cyberioLv 4,12:14:39,240,2, 开放性
"静下心来,想想为什么非典在广东没什么了却在北京有问题
",niugirlLv 2,4:03:53,7469,9, 开放性
[寻医问药]“康司艾”能防治非点?,石不能言Lv 4,7:02:07,124,3, 开放性
非典（SARS）的影像学表现（希望临床医生们看看）(贴图),-蓝海-Lv 6,21:33:21,1324,54, 开放性
香港12非典病人复发(转载),海淀农民Lv 14,13:47:50,351,7, 开放性
非典的传播途径、预防方法及诊断标准,襄Lv 2,23:58:36,212,0, 开放性
请问医生们对此有什么看法,ballerinaLv 1,0:20:48,143,6, 开放性
问个问题(消毒水/空气质量),我是一只猪Lv 2,14:58:05,184,13, 开放性
非典出现有利控制迹象(转载),chiwardLv 26,11:54:39,134,0, 不适用
"我该怎么办啊？？
",寒妆素雪Lv 4,9:45:41,77,6, 神经质
"[休闲天地]祝去北京的同事平安
",free鱼Lv 8,9:28:20,165,5, 亲和性
卫生部办公厅关于印发新修订的传染性非典型肺炎临床诊断标准和推荐治疗方案及出院参考标准的通知(转载),赖赖毛Lv 6,19:24:02,199,8, 开放性
"王海观点——建议人大授权政府为所有“非典”患者买单
",王海观点Lv 3,8:05:33,221,12, 开放性
"世卫专家：病毒在排泄物中活4天 0℃无限期存活(转载)
",小弋Lv 4,19:55:52,126,1, 开放性
"人类应多行善事——从哲学上谈“非典”
",中华不败Lv 6,14:48:29,345,21, 亲和性
诗人向所有北京相识的网友说声保重,诗人Lv 3,11:56:11,109,0, 亲和性
不知道是不是得了非典了。。。,猪脚圈Lv 5,18:49:33,100,2, 神经质
[寻医问药]我咳嗽好久了，是不是有非典了？,xlgwcomLv 4,13:32:57,167,6, 神经质
[休闲天地]非典有助于缓解医患关系？,我是和尚我怕谁Lv 8,19:26:58,521,27, 开放性
"问一个关于非典的问题
",佛魔Lv 12,11:13:25,160,4, 开放性
"[口腔科]我这几天上火了 又有些低烧 不会是得了非典了吧？
",billy666Lv 7,14:42:32,166,3, 神经质
[休闲天地]看央视新闻忽然想起一句诗：捐躯付国难，视死忽如归,我是和尚我怕谁Lv 8,21:03:55,223,8, 亲和性
"SARS没有复发情况(?)(转载)
",赖赖毛Lv 6,14:22:13,145,5, 开放性
"[休闲天地]要是天涯有文章置顶功能就好了。。。
",唧唧咕咕Lv 4,14:41:23,90,4, 不适用
我真的非典了吗？（求救中，我好怕怕）,淡淡忧伤的鱼Lv 5,19:32:29,389,15, 神经质
"[寻医问药]请问我需要去防疫站检查吗？
",清清然Lv 6,13:28:59,208,8, 开放性
"robin1123,我五一要到深圳看男友，飞机，注意些啥呢（急）
",tornbirdLv 6,18:33:17,1483,74, 开放性
如果身边有同事可能不健康（SARS），我该怎么办？,千与千寻兮Lv 4,21:33:07,176,5, 开放性
"[寻医问药]这样有可能是FD吗？
",独孤长风Lv 8,15:56:29,99,2, 开放性
"医生朋友请看，这说的有道理么？(转载)
",认真的游戏者Lv 4,11:33:48,183,10, 开放性
[休闲天地]同志们集合了！,gigeLv 6,1:04:36,196,9, 亲和性
"敬礼！我的战友！多多保重！
",赖赖毛Lv 6,18:31:40,537,43, 亲和性
"非典时期中的典型讹诈(转载)
",浮生如此Lv 6,16:09:56,340,13, 尽责性
"北京历史上的瘟疫及其经验教训(转载)
",古墓厉影Lv 0,22:08:15,752,3, 开放性
"请为抗非典战士配盔甲
",无名将Lv 14,13:48:21,311,4, 亲和性
"求救~~~我一直咳嗽不会得非典了吧~~~~~~
",恶作剧小猪Lv 4,3:14:42,131,2, 神经质
"请天涯的医生看看，我的情况怎么办，现在学校封了，只能在这里请教了
",游菲Lv 3,8:04:21,197,6, 开放性
"食辣与防SARS
",zhaolxLv 4,13:25:12,215,10, 开放性
"胸闷！
",ww蜗牛wwLv 6,12:36:55,91,1, 神经质
有时觉得气紧,暗投Lv 5,22:08:35,137,6, 神经质
我是不是感染了SARS？在线等待,哭泣中的百合Lv 3,20:51:19,317,13, 神经质
"60 癸未 瘟疫
",古墓厉影Lv 0,21:58:42,437,19, 开放性
"关于非典 ！求助！
",kenney8Lv 3,20:56:16,92,1, 开放性
"胸口最近很痛！！！
",飘然儿儿Lv 5,23:18:38,106,2, 神经质
"[病理科]非典的病理（供医师参考）(转载)
",曾相识Lv 2,11:51:14,430,21, 开放性
"全国SARS师资培训班(４月１４～１５日)文字资料(转载)
",robin1123Lv 13,10:31:00,1577,49, 开放性
海南药品进京抗非 省药监局收到感谢信(转载)[已扎口],塞林戈Lv 4,19:21:34,204,3, 不适用
"求救：这是不是非典，我不感去医院，怛被关起来！
",江南二少Lv 1,22:23:38,91,1, 神经质
SARS一事，请教同行,大肠杆菌Lv 4,10:56:31,265,14, 开放性
"[口腔科]我在北京，我想去看病不敢去医院~~
",鸡肋安在自虐Lv 15,9:46:23,395,5, 神经质
"述评： SARS治疗概况及应解决的问题(转载)
",呼啸而过的子弹Lv 10,21:41:59,248,5, 开放性
"关于持续低烧的问题
",柿子饼Lv 3,20:59:26,307,5, 开放性
[通知]禁止发布预防非典秘方(或中药方/生物制品)之类的通知,robin1123Lv 13,12:09:36,6975,60, 不适用
"求助 求助！！！！！！！！！！！我是不是非典了啊？？？
",刺激1981Lv 4,15:15:38,128,5, 神经质
"是非典吗？
",寻寻觅觅冷冷清清Lv 3,14:27:51,116,2, 神经质
"广东305人感染非典型肺炎 张德江指示全力救治(转载)[已扎口]
",开心就好Lv 8,10:35:46,6379,9, 开放性
精神病学、心理学专家谈警惕“SARS恐惧综合征”(转载),robin1123Lv 13,10:56:58,206,7, 开放性
"和非典无关吧~~~~
",恶作剧小猪Lv 4,2:46:24,50,0, 开放性
"中医药防治非典效果显着 记者　陈光曼(转载)
",罗罗Lv 5,20:28:39,256,7, 开放性
"寻有兴趣的朋友一起建设一个SARS网站
",neveronlineLv 2,21:26:23,95,3, 开放性
"[寻医问药]关于非典，新问题！
",情绪化的困困Lv 5,21:04:41,167,5, 开放性
"(2003-05-12)海南出现“毒口罩”(转载)
",robin1123Lv 13,14:43:54,119,0, 开放性
"看来,等疫情一结束,一般性疾病的病例会大幅“长扬“!
",robin1123Lv 13,14:49:33,166,0, 开放性
"关于非典的预防针的问题
",robin1123Lv 13,16:42:46,574,10, 开放性
"卫生部发布最有效和最无效的预防非典措施(转载)
",即Lv 3,21:11:48,4545,3, 开放性
张文康连任卫生部长，大家有何看法。,无名将Lv 14,0:09:51,1165,34, 开放性
"非典时期的感慨
",潭影空人心Lv 6,21:04:13,367,18, 亲和性
"比非典更可怕！！！！！！！！！！！
",jenidyLv 5,22:04:15,97,2, 神经质
"[寻医问药]求助：我是否接近“非典”症状，我的心理压力很大
",火焰之河Lv 5,15:00:30,184,4, 神经质
"
治疗艾滋病病毒的经验也适用于SARS(转载)
",zhaolxLv 4,16:33:46,185,0, 开放性
"SARS的疑惑
",你说我叫啥Lv 5,10:30:18,220,12, 开放性
"13亿的大国，不要再没完没了地流动了.....
",ywforeverLv 3,14:04:44,184,8, 开放性
"对SARS医学哪门学科应该发言多？（欢迎讨论）
",相逢相知Lv 3,21:56:54,168,11, 开放性
"上个星期六收到北京万网的挂号信，邮件上是否可能依附SARS病毒？
",稻草人10号Lv 0,15:09:21,290,12, 开放性
"[求助]请专家们进来指点、指点。
",梦猪Lv 4,13:19:40,49,2, 开放性
"由“非典”再说中医西医[已扎口]
",中华不败Lv 6,21:21:05,1716,133, 开放性
"[寻医问药]1918流感大流行(转载)
",魑魅魍魉2号Lv 15,14:24:19,208,0, 开放性
"求救！！！(关于SARS)
",君子鱼Lv 3,13:08:34,77,3, 神经质
"化妆品会不会传染非典？？
",晴天周末Lv 6,11:25:51,86,2, 开放性
"[心理专科]是我有神经病 还是非典闹的！！！
",李程Lv 6,21:54:39,150,6, 神经质
"非典，让我们想起中医教育[已扎口]
",北京村夫Lv 8,22:17:11,321,6, 开放性
"责任感
",bossh00Lv 6,19:48:09,155,10, 亲和性
"[替shinygd发帖]非典，让我们想起中医教育
",robin1123Lv 13,11:09:37,382,42, 开放性
"求救
",七星高照Lv 2,19:31:15,36,2, 神经质
"楼下有非典，还可以开窗户吗？
",七巧板Lv 4,10:26:21,201,7, 开放性
"关于SARS的最大疑问
",天涯乐游人Lv 6,19:42:45,132,3, 开放性
"[寻医问药]持续低热:(
",环佩叮珰Lv 12,22:39:29,1557,30, 神经质
"往年全国非典型肺炎(不是这次的传染性SARS)大概每年有多少例?
",zhaolxLv 4,12:24:58,142,3, 开放性
"发烧后吃药又退了，可以排除SARS吗？
",曾经疯狂2Lv 12,21:03:16,165,8, 开放性
"悼念失去的英雄
",松雪道人Lv 6,7:14:36,115,3, 亲和性
"普通人需要注射利巴韦林防非典吗?
",lovegaLv 7,9:31:27,467,15, 开放性
"佛山弼唐乡：迄今发现的广东第一例的医学调查(转载)
",曾相识Lv 2,22:17:27,105,1, 开放性
"桑果小子防非典(Flash)
",我咳嗽Lv 6,9:34:20,55,0, 不适用
"头痛，是不是非典？
",蓝丝绸Lv 2,8:55:18,113,4, 神经质
"体温过低体温过低什么原因
什么原因",心儿9199Lv 7,9:46:57,104,1, 开放性
"
疾控中心专家的非典时期
",黄金小子Lv 5,12:28:25,155,0, 开放性
"儿童SARS临床特点(转载)
",呼啸而过的子弹Lv 10,20:56:49,282,12, 开放性
"吕厚山院长，你要坚强起来，多保重。
",历尽沧桑Lv 6,21:16:07,250,3, 亲和性
"人命关天，懂中医西医中药西药的都进来，集思广益一下
",还是胡扯Lv 21,23:07:36,534,37, 开放性
"可笑的司法解释
",松雪道人Lv 6,7:19:41,398,29, 不适用
"前天发烧到现在，急急，在线等
",无声寒Lv 3,16:25:58,75,1, 神经质
"SARS当前,我能做些什么?
",robin1123Lv 13,5:47:13,1554,57, 开放性
"[休闲天地]这个夏天怎么过
",春之雨Lv 5,13:18:40,77,1, 开放性
"我想问问怎么才能去小汤山呀?
",我本来就不存在Lv 6,19:35:16,185,2, 开放性
"新浪网:抗击非典“速胜论”不符合实际(转载)
",robin1123Lv 13,18:39:04,89,2, 开放性
"我发烧了
",怪物2891Lv 4,20:51:20,223,7, 神经质
是否每到一个地方都会被隔离？,郭亚非Lv 2,22:30:43,174,4, 开放性
"发表一下你们的看法吧！(贴图)
",古墓厉影Lv 0,8:35:45,176,4, 开放性
"请问大家对于红外温度计测出29度体温的看法?
",黄金小子Lv 5,16:58:13,221,3, 开放性
"洗手与淡水资源
",robin1123Lv 13,11:20:07,122,5, 开放性
"扩大免疫服务疫苗推荐免疫的针是否要打？有没有什么坏处？（急）
",六百Lv 6,13:00:12,743,11, 开放性
"[寻医问药]“非典”如果真是瘟疫，那么希望就要到了！！！
",也能冷暖自知Lv 4,23:00:24,335,4, 开放性
"急寻以下病毒的图片。
",kitleeLv 8,22:01:48,311,24, 开放性
"请问：N95口罩
",雪山飞熊Lv 5,21:13:39,186,5, 开放性
"[寻医问药]怎么就发烧了？？
",丫够逗的Lv 5,23:16:27,112,1, 神经质
"[休闲天地]从SARS想到14世纪的鼠疫
",自由飞翔007Lv 7,0:02:56,1011,43, 开放性
"[休闲天地]14世纪鼠疫流行给我们的启示
",自由飞翔007Lv 7,22:40:27,629,15, 开放性
"英、印科学家新奇理论：ＳＡＲＳ来自太空?(转载)
",古墓厉影Lv 0,21:04:24,80,1, 开放性
[休闲天地]转载的关天的文章——“非典”过后医生怎么办(转载),纳兰的剑Lv 6,22:33:52,251,6, 开放性
"奇！中国五十年代医书就曾记载非典型肺炎症状(转载)
",3XLv 6,11:30:59,371,7, 开放性
"[休闲天地]非典，教我们敬畏大自然！(转载)
",qianmoLv 6,13:15:17,201,7, 开放性
"急！求助！
",俺是老粗Lv 7,4:04:21,48,2, 神经质
"论学术权威
",robin1123Lv 13,9:51:46,350,24, 开放性
"我男朋友发高烧啊！！在广州！求救！
",ballerinaLv 1,20:43:11,330,10, 神经质
"[SARS专题]　　SARS诊疗的阶段性认识(转载)
",呼啸而过的子弹Lv 10,21:52:06,192,2, 开放性
"有没有预防非典的针啊?
",雪儿龙女3Lv 20,20:06:55,217,14, 开放性
预防春季流感是减少非典型肺炎的重要措施(转载),海淀农民Lv 14,18:42:09,151,1, 开放性
"北京宣武医院抗击SARS论坛开通，一线医生主持
",云在青山Lv 5,8:32:44,495,1, 开放性
"[休闲天地]客观的说去年离开我们的歌手高枫是SARS吗？
",wbd123Lv 7,16:43:53,877,12, 开放性
"昨晚睡觉着凉感冒了咋办？
",西红Lv 19,18:28:31,144,2, 神经质
"非典治愈的病人是否寿命会受影响？
",happyniuLv 4,14:25:12,327,2, 开放性
"
[寻医问药]咳了一个多月了，痛苦！
",用心读你Lv 1,14:29:16,137,2, 神经质
"请教各位每晚发低烧该怎么办。
",妙宜Lv 3,15:28:27,884,12, 神经质
"问一下关于肺炎
",kitleeLv 8,14:50:19,325,10, 开放性
"SARS何时能得到控制？
",无闲飘逸5Lv 14,12:20:55,172,10, 开放性
"左胸腔怎么感觉老不对劲啊！！！！！！
",鱼香肉丝0武汉版Lv 3,17:43:30,247,4, 神经质
"非典与感冒最明显的区别症状是什么
",向往淡淡Lv 5,19:15:01,262,1, 开放性
"SARS病理学的有关问题（转贴，注意版权，谢谢）(转载)
",曾相识Lv 2,20:48:36,936,21, 开放性
"有关SARS与猴痘
",farrellLv 6,22:21:32,278,8, 开放性
"发烧不退~~
",viste的马甲Lv 8,19:37:45,98,0, 神经质
"
非典下半年会流行？
",1小蚂蚁1Lv 7,12:16:13,284,9, 开放性
"[我要发帖]
天使可以当多久？中国医患矛盾的非典后审视（自SINA）(转载)
",冬天里的遐想Lv 7,13:52:49,367,8, 开放性
"关于药物的副作用！！！
",fwwoaiLv 8,14:49:23,240,6, 开放性
"为什么眼睛痛要开利巴韦林片？？？？那可是治非典的，求教？
",阿依苏Lv 5,17:45:14,322,9, 开放性
"中国应该向受非典影响的国家赔款[已扎口]
",罕见缺乏风情Lv 2,22:11:31,181,2, 不适用
"[心理专科]朋友得了SARS现在康复中，心情很差，有康复热线吗(转载)
",lvzhpLv 1,22:14:20,125,4, 亲和性
"[公告]关于慎重转载广东省病毒性肺炎的通知
",robin1123Lv 13,15:51:18,1209,24, 不适用
"专访卫生部长张文康
",robin1123Lv 13,11:24:50,5946,22, 开放性
"小“非典“又来了,55555555555555
",marry72Lv 7,22:08:39,170,5, 神经质
非典组图,berlinerLv 5,14:21:09,158,8, 不适用
肺部有阴影会得什么病？（在线等待）,情感银行Lv 8,16:34:21,1966,6, 神经质
"加国疑再爆发沙斯疫情(转载)
",正音Lv 4,13:09:59,285,0, 开放性
"警惕：SARS又现(转载)
",maybesomedayLv 4,22:31:11,384,2, 开放性
"[寻医问药]急！肺结核！
",飞妃Lv 6,8:34:34,468,7, 神经质
"最新一例SARS病毒来自实验室！
",stoneboyLv 6,0:03:29,267,1, 开放性
"
预备SARS：WHO发布今年流感疫苗成分推荐",stoneboyLv 6,20:49:47,203,2, 开放性
非典”为何漫延猖獗？(转载),自然之旅Lv 8,17:51:48,143,0, 开放性
"有关肺结核
",天上彩虹Lv 3,20:48:11,259,3, 开放性
"非典不可能是美国的基因武器
",精英人物Lv 3,17:09:55,789,6, 开放性
"[寻医问药]太恐怖了我朋友得了肺结核！
",牵牵花Lv 3,10:43:09,690,6, 神经质
"逃脱SARS病魔后的痛苦(转载)
",扎热Lv 6,23:35:19,435,5, 亲和性
